Date,Name,Year,Letterboxd URI,Rating
2026-06-10,Call Me by Your Name,2017,https://boxd.it/dYmm,5
2026-06-10,Whiplash,2014,https://boxd.it/7bQA,4.5
2026-06-10,Her,2013,https://boxd.it/4O24,4.5
2026-06-10,Marty Supreme,2025,https://boxd.it/Off0,4.5
2026-06-10,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3
2026-06-11,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2026-06-16,Paddington,2014,https://boxd.it/3RKw,4
2026-06-16,Ex Machina,2015,https://boxd.it/7T2k,4
2026-06-17,The Eight Mountains,2022,https://boxd.it/ufRe,4.5
2026-06-25,Decision to Leave,2022,https://boxd.it/qp9e,4
