Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-15,Good Time,2017,https://boxd.it/9pCdcd,3,,,2025-04-15
2025-04-21,Godzilla Minus One,2023,https://boxd.it/9tnKpv,3,,,2025-04-21
2025-04-25,Logan,2017,https://boxd.it/9vWFv7,3,,,2025-04-25
2025-04-26,Made in Abyss: Journey's Dawn,2019,https://boxd.it/9wxSZN,3.5,,,2025-04-26
2025-04-27,Perfect Blue,1997,https://boxd.it/9wHuz7,4.5,,,2025-04-26
2025-04-28,Nosferatu,1922,https://boxd.it/9xxp0b,3.5,,,2025-04-27
2025-04-30,The Northman,2022,https://boxd.it/9yBNDX,3,,,2025-04-29
2025-05-01,Sinners,2025,https://boxd.it/9z9V9p,3.5,,,2025-05-01
2025-05-02,Coco,2017,https://boxd.it/9zvLxl,4,,,2025-05-01
2025-05-04,K-PAX,2001,https://boxd.it/9ATUKF,4,,,2025-05-03
2025-05-08,Tangled,2010,https://boxd.it/9DcvGJ,3,,,2025-05-07
2025-05-08,Made in Abyss: Dawn of the Deep Soul,2020,https://boxd.it/9DlyyV,4,,,2025-05-07
2025-05-09,Thunderbolts*,2025,https://boxd.it/9DUeX7,3.5,,,2025-05-09
2025-05-10,The Hurricane,1999,https://boxd.it/9EkF25,4,,,2025-05-09
2025-05-11,Bad Times at the El Royale,2018,https://boxd.it/9ERdUf,3,,,2025-05-10
2025-05-16,The Empire Strikes Back,1980,https://boxd.it/9HJM53,5,,,2025-05-15
2025-05-17,The Aristocats,1970,https://boxd.it/9I4uvJ,4,,,2025-05-16
2025-05-20,The Lighthouse,2019,https://boxd.it/9KcLG9,3.5,,,2025-05-19
2025-05-22,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/9LhMfH,4.5,,,2025-05-21
2025-05-23,Vampire Hunter D: Bloodlust,2000,https://boxd.it/9LQB2H,4,,,2025-05-22
2025-05-24,Lilo & Stitch,2025,https://boxd.it/9Mtyph,2.5,,,2025-05-24
2025-05-27,Misery,1990,https://boxd.it/9OB1zd,4,,,2025-05-26
2025-05-29,The Princess and the Frog,2009,https://boxd.it/9PKIr9,3,,,2025-05-28
2025-05-29,Ready or Not,2019,https://boxd.it/9PKJ9b,3.5,,,2025-05-28
2025-05-30,The Dark Knight Rises,2012,https://boxd.it/9QrFFN,4.5,,,2025-05-30
2025-06-04,Enter the Void,2009,https://boxd.it/9TEPmz,1.5,,,2025-06-04
2025-06-05,Dogville,2003,https://boxd.it/9UcIZn,4,,,2025-06-05
2025-06-06,The Life Aquatic with Steve Zissou,2004,https://boxd.it/9UFvlR,4,,,2025-06-05
2025-06-08,Asterix & Obelix: The Big Fight,2025,https://boxd.it/9VEciB,3.5,,,2025-06-07
2025-06-08,10 Cloverfield Lane,2016,https://boxd.it/9VXDfx,4,,,2025-06-08
2025-06-10,The Phoenician Scheme,2025,https://boxd.it/9XkTQz,4,,,2025-06-10
2025-06-14,Natale a New York,2006,https://boxd.it/9ZysLt,2,,,2025-06-13
2025-06-20,Back to the Future Part II,1989,https://boxd.it/a3MVcL,3.5,,,2025-06-20
2025-06-22,How to Train Your Dragon,2025,https://boxd.it/a4Rc2F,3,,,2025-06-22
2025-06-23,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/a5ib7D,5,,,2025-06-22
2025-06-25,Hercules,1997,https://boxd.it/a6ZqEx,4,,,2025-06-25
2025-06-26,28 Weeks Later,2007,https://boxd.it/a7m2vn,2,,,2025-06-25
2025-06-28,Return of the Jedi,1983,https://boxd.it/a8xlAR,4.5,,,2025-06-27
2025-06-30,Cars,2006,https://boxd.it/aacXYD,4,,,2025-06-29
2025-07-03,Aladdin,1992,https://boxd.it/ac9G4v,3.5,,,2025-07-02
2025-07-03,The Hunchback of Notre Dame,1996,https://boxd.it/acfr9R,3,,,2025-07-03
2025-07-04,The Matrix Reloaded,2003,https://boxd.it/acQqvB,2.5,,,2025-07-03
2025-07-07,Final Destination,2000,https://boxd.it/af2ovh,2,,,2025-07-07
2025-07-09,Grave of the Fireflies,1988,https://boxd.it/aglvXp,4.5,,,2025-07-08
2025-07-10,The Incredibles,2004,https://boxd.it/ahfLmh,4.5,,,2025-07-10
2025-07-13,Snow White,2025,https://boxd.it/ajcJzl,0.5,,,2025-07-12
2025-07-15,The Boy and the Heron,2023,https://boxd.it/akYdEN,4.5,,,2025-07-15
2025-07-17,Sleepy Hollow,1999,https://boxd.it/amqTwr,3,,,2025-07-16
2025-07-18,Carry-On,2024,https://boxd.it/anaN8P,3.5,,,2025-07-17
2025-07-19,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/aog10J,4,,,2025-07-19
2025-07-22,Jurassic World Rebirth,2025,https://boxd.it/aq62t1,3,,,2025-07-21
2025-07-23,Blink Twice,2024,https://boxd.it/arcWjx,2,,,2025-07-23
2025-07-25,F1,2025,https://boxd.it/asOIYV,2.5,,,2025-07-25
2025-07-27,The Fantastic 4: First Steps,2025,https://boxd.it/auvNlT,3.5,,,2025-07-27
2025-07-28,Brazil,1985,https://boxd.it/avnUJr,3.5,,,2025-07-27
2025-07-29,Zodiac,2007,https://boxd.it/awJ7Qh,4,,,2025-07-29
2025-07-30,Holy Motors,2012,https://boxd.it/awVFnx,1,,,2025-07-29
2025-08-02,Us,2019,https://boxd.it/azl5yf,3.5,,,2025-08-01
2025-08-03,Happy Gilmore,1996,https://boxd.it/azZX8l,1.5,,,2025-08-02
2025-08-04,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/aB3mlp,3,,,2025-08-03
2025-08-05,Bring Her Back,2025,https://boxd.it/aC2qUF,4,,,2025-08-05
2025-08-06,Beetlejuice Beetlejuice,2024,https://boxd.it/aCoB0n,3,,,2025-08-05
2025-08-07,La La Land,2016,https://boxd.it/aDpton,3.5,,,2025-08-06
2025-08-10,The Shawshank Redemption,1994,https://boxd.it/aFifYb,4,,,2025-08-09
2025-08-10,Aliens,1986,https://boxd.it/aG3CGN,3.5,,,2025-08-10
2025-08-12,Django Unchained,2012,https://boxd.it/aHdqWj,5,,,2025-08-11
2025-08-13,Incredibles 2,2018,https://boxd.it/aHYJcX,3.5,,,2025-08-12
